group_id,artifact_id,version_number
com.ogaclejapan.smarttablayout,utils-v13,1.1.3
com.mikepenz.materialdrawer,library,0.8.0
com.netflix.archaius,archaius-zookeeper,0.6.0
com.ogaclejapan.smarttablayout,utils-v13,1.2.0
com.nimbusds,nimbus-jose-jwt,4.0-rc2
com.nhl.link.rest,link-rest,1.20
com.mikepenz.materialdrawer,library,0.9.0
com.ogaclejapan.smarttablayout,utils-v13,1.2.1
com.netflix.archaius,archaius-zookeeper,0.6.1
com.nimbusds,nimbus-jose-jwt,4.0-rc3
com.nhl.link.rest,link-rest,1.21
com.mikepenz.materialdrawer,library,0.9.1
com.ogaclejapan.smarttablayout,utils-v13,1.2.2
com.netflix.archaius,archaius-zookeeper,0.6.2
com.nimbusds,nimbus-jose-jwt,4.0-rc4
com.nhl.link.rest,link-rest,1.22
com.googlecode.jannocessor,jannocessor,0.5.0
com.mikepenz.materialdrawer,library,0.9.2
com.ogaclejapan.smarttablayout,utils-v13,1.2.3
com.netflix.archaius,archaius-zookeeper,0.6.3
com.nimbusds,nimbus-jose-jwt,4.0.1
com.ogaclejapan.smarttablayout,utils-v13,1.3.0
com.mikepenz.materialdrawer,library,0.9.3
com.netflix.archaius,archaius-zookeeper,0.6.5
com.nimbusds,nimbus-jose-jwt,4.1
com.ogaclejapan.smarttablayout,utils-v13,1.4.0
com.mikepenz.materialdrawer,library,0.9.4
com.netflix.archaius,archaius-zookeeper,0.6.6
com.ogaclejapan.smarttablayout,utils-v13,1.4.1
com.nimbusds,nimbus-jose-jwt,4.1.1
com.mikepenz.materialdrawer,library,0.9.5
com.ogaclejapan.smarttablayout,utils-v13,1.4.2
com.netflix.archaius,archaius-zookeeper,0.7.0
com.nimbusds,nimbus-jose-jwt,4.10
com.mikepenz.materialdrawer,library,0.9.6
com.ogaclejapan.smarttablayout,utils-v13,1.5.0
com.nimbusds,nimbus-jose-jwt,4.11
com.netflix.archaius,archaius-zookeeper,0.7.1
com.mikepenz.materialdrawer,library,0.9.7
com.ogaclejapan.smarttablayout,utils-v13,1.5.1
com.netflix.archaius,archaius-zookeeper,0.7.3
com.nimbusds,nimbus-jose-jwt,4.11.1
com.ogaclejapan.smarttablayout,utils-v13,1.6.0
com.mikepenz.materialdrawer,library,0.9.8
com.netflix.archaius,archaius-zookeeper,0.7.4
com.nimbusds,nimbus-jose-jwt,4.11.2
com.netflix.archaius,archaius-zookeeper,0.7.4-rc.1
com.mikepenz.materialdrawer,library,0.9.9
com.ogaclejapan.smarttablayout,utils-v13,1.6.1
com.nimbusds,nimbus-jose-jwt,4.12
com.nimbusds,nimbus-jose-jwt,4.13
com.mikepenz.materialdrawer,library,1.0.0
com.netflix.archaius,archaius2-api,2.0.0
com.ogaclejapan.smarttablayout,utils-v4,1.0.0
com.nimbusds,nimbus-jose-jwt,4.13.1
com.mikepenz.materialdrawer,library,1.0.1
com.netflix.archaius,archaius2-api,2.0.0-rc.34
com.nimbusds,nimbus-jose-jwt,4.14
com.ogaclejapan.smarttablayout,utils-v4,1.1.0
com.mikepenz.materialdrawer,library,1.0.2
com.netflix.archaius,archaius2-api,2.0.0-rc.35
com.nimbusds,nimbus-jose-jwt,4.15
com.ogaclejapan.smarttablayout,utils-v4,1.1.1
com.netflix.archaius,archaius2-api,2.0.0-rc.36
com.mikepenz.materialdrawer,library,2.0.0
com.nimbusds,nimbus-jose-jwt,4.15.1
com.netflix.archaius,archaius2-api,2.0.0-rc.37
com.ogaclejapan.smarttablayout,utils-v4,1.1.2
com.mikepenz.materialdrawer,library,2.0.1
com.nimbusds,nimbus-jose-jwt,4.16
com.netflix.archaius,archaius2-api,2.0.0-rc.38
com.ogaclejapan.smarttablayout,utils-v4,1.1.3
com.opencsv,opencsv,3.1
com.mikepenz.materialdrawer,library,2.0.2
